previous_gpa,internal_score,study_hours,attendance,assignment_rate,parental_education,internet_access,extracurricular,performance_label
7.39,87.2,6.3,43.4,58.5,1,0,1,1
6.25,78.6,8.4,59.1,73.4,1,1,1,1
7.67,63.1,5.8,65.8,74.3,2,1,1,0
9.24,50.4,7.8,100.0,82.5,1,1,1,1
6.08,74.6,1.4,80.3,49.4,1,1,1,0
6.08,69.1,9.9,52.0,84.7,2,1,1,1
9.34,78.1,9.0,79.3,25.3,2,1,0,1
7.88,73.4,5.7,48.8,62.7,3,1,1,1
5.65,80.9,11.6,88.2,65.2,2,1,1,1
7.48,52.4,12.8,64.9,85.4,0,1,1,1
5.67,85.7,2.6,70.6,74.4,1,1,1,0
5.66,65.6,5.9,91.9,48.7,3,1,0,0
6.94,99.4,5.9,52.7,56.3,2,1,1,1
3.06,49.6,5.2,51.0,77.6,2,1,1,0
3.4,93.2,12.3,63.2,72.6,0,1,1,0
5.49,65.6,8.2,87.6,63.6,2,0,0,0
4.68,50.3,7.9,49.2,65.3,0,1,1,0
7.07,53.3,1.0,29.5,86.5,2,1,1,0
4.87,56.2,11.5,65.2,64.7,3,0,0,0
3.96,69.6,4.0,80.3,72.4,3,1,0,0
9.14,71.4,9.2,90.0,100.0,2,1,0,1
6.09,51.7,10.1,65.1,48.4,2,1,1,0
6.62,61.6,14.4,65.8,40.7,3,0,0,0
3.94,100.0,3.8,89.3,88.1,2,1,0,0
5.52,93.1,0.0,44.0,61.8,0,1,1,0
6.7,69.9,9.7,66.2,68.3,2,1,0,0
4.43,62.7,16.2,74.9,59.9,1,1,0,1
7.18,64.2,14.0,78.7,69.3,2,1,1,1
5.42,73.0,9.8,64.4,100.0,2,1,1,1
5.97,43.6,7.0,72.5,88.4,2,1,1,0
5.42,57.4,12.2,34.7,89.5,2,1,0,0
9.83,32.0,5.1,62.1,48.5,1,1,1,0
6.48,69.2,10.9,78.8,53.3,2,0,1,1
4.6,73.6,11.0,57.3,22.9,3,1,0,0
7.98,53.3,13.2,72.9,59.4,2,1,0,1
4.3,90.3,20.0,78.7,91.2,1,1,0,1
6.88,39.9,10.6,66.9,83.3,3,0,0,0
2.97,35.6,7.0,74.6,70.0,3,1,1,0
4.11,66.0,8.9,57.6,73.6,1,0,1,0
6.85,80.8,1.9,68.9,61.6,0,0,0,0
7.83,92.3,6.2,81.2,77.7,2,1,0,1
6.81,53.7,7.4,74.4,87.8,3,1,0,0
6.29,81.4,6.9,63.2,44.9,3,1,1,0
5.96,61.3,9.6,75.4,79.4,3,0,0,1
3.84,58.9,5.7,82.7,90.8,2,1,1,0
5.2,77.9,13.5,41.3,66.5,2,0,0,0
5.67,73.7,9.0,89.4,86.6,0,1,1,1
8.4,33.6,9.0,67.0,100.0,1,1,1,0
7.12,88.6,7.7,78.4,72.1,2,1,0,1
3.33,86.8,9.6,90.0,81.1,2,1,1,1
7.08,50.7,12.3,51.4,60.7,2,0,1,0
5.81,69.1,5.5,61.4,77.3,2,1,0,0
5.28,70.9,6.4,67.7,82.3,1,1,1,0
7.6,66.7,7.8,60.2,77.5,2,1,0,1
8.36,52.1,3.6,98.0,55.6,0,1,1,0
8.18,49.9,5.7,59.1,77.7,2,0,0,0
4.99,61.5,7.1,63.7,100.0,3,1,1,0
5.94,83.1,12.5,75.1,82.1,2,1,1,1
7.1,71.8,10.1,54.0,91.3,3,1,1,1
8.26,55.3,9.8,66.1,69.7,1,0,1,0
5.64,75.9,12.4,76.8,87.5,2,0,1,1
6.17,10.7,8.5,67.0,79.0,1,1,0,0
4.51,82.7,10.6,70.6,56.9,2,1,1,0
4.35,30.7,8.6,64.1,79.7,3,1,1,0
7.96,55.5,10.1,49.3,56.1,2,0,1,0
8.94,41.8,6.7,76.8,62.6,3,1,1,1
6.37,38.7,0.0,98.3,77.4,1,1,1,0
8.31,82.9,8.5,72.3,79.4,3,1,1,1
7.15,53.6,14.7,75.4,52.6,0,1,1,1
5.34,68.2,12.7,82.4,93.0,3,1,0,1
7.15,61.2,12.9,53.0,84.3,1,1,0,1
9.27,70.6,13.9,97.5,61.3,1,1,0,1
6.44,63.4,9.4,75.0,46.3,2,0,1,0
9.32,38.9,9.8,96.5,71.4,3,1,0,1
1.78,79.9,6.5,61.0,66.0,0,1,0,0
7.98,53.1,7.7,99.3,76.0,2,1,1,1
6.66,34.0,11.5,83.6,67.5,3,1,0,0
5.96,54.3,13.8,80.3,37.9,2,1,1,0
6.67,89.0,8.4,75.5,67.0,1,1,0,1
2.92,77.3,7.2,68.3,68.5,2,1,0,0
6.1,55.7,9.0,90.0,85.4,2,1,1,1
7.14,55.7,11.4,74.1,61.4,3,0,1,1
9.16,56.2,3.2,42.5,100.0,3,0,1,0
5.57,99.4,0.0,55.2,39.6,2,1,0,0
5.04,68.9,6.8,69.2,97.6,3,0,1,0
5.6,69.7,4.1,76.6,70.0,2,1,0,0
8.15,80.5,7.0,71.2,89.5,0,1,0,1
7.09,66.3,8.4,90.3,75.4,1,1,0,1
5.55,57.3,7.2,42.7,94.5,2,1,0,0
7.42,58.5,14.8,74.2,67.0,1,1,0,1
6.67,60.7,10.3,44.7,54.2,3,0,0,0
8.24,61.3,10.2,83.4,99.6,3,1,1,1
5.24,75.1,11.5,70.6,72.0,1,1,0,0
5.91,62.9,4.4,78.3,78.0,2,1,0,0
5.79,75.2,13.2,59.0,96.2,2,1,0,1
3.87,60.5,8.7,91.2,55.4,3,1,1,0
7.03,63.4,11.7,87.6,84.7,3,0,0,1
6.97,26.0,4.7,80.8,63.4,2,1,1,0
6.51,78.5,2.8,70.1,71.6,3,0,1,0
6.08,68.2,12.3,80.7,75.3,2,1,0,1
3.95,80.0,10.5,61.4,47.0,2,1,1,0
5.74,9.9,5.4,84.8,60.0,1,1,0,0
5.88,99.6,5.5,96.7,98.3,1,1,1,1
5.06,59.5,13.5,88.1,90.0,2,0,0,1
6.21,81.9,4.2,61.1,72.9,1,1,0,0
7.23,43.3,15.6,77.4,78.4,0,0,0,1
9.9,73.0,5.4,52.6,68.7,2,0,1,1
6.81,43.0,11.6,80.6,98.4,0,1,0,1
6.96,50.8,7.7,78.8,70.4,2,1,0,1
6.37,96.5,11.4,44.0,78.2,2,1,1,1
3.05,58.6,6.8,54.6,94.6,3,1,1,0
6.45,65.9,8.3,67.8,60.0,2,1,1,0
6.61,77.7,9.2,67.5,100.0,0,1,0,1
10.0,70.9,5.0,53.9,46.5,2,0,1,1
6.15,64.7,12.0,77.8,100.0,3,1,1,1
7.04,68.6,6.9,75.8,67.3,3,1,0,0
6.44,100.0,8.1,69.1,69.6,2,1,1,1
4.4,61.0,5.0,60.7,40.0,1,1,0,0
8.56,65.6,0.0,87.7,65.8,3,1,1,1
7.85,80.9,8.2,96.8,55.3,1,1,0,1
7.92,81.9,18.7,64.7,63.1,2,1,1,1
4.86,83.4,12.1,62.8,71.5,2,1,0,1
9.03,73.5,8.9,79.4,91.2,0,1,1,1
3.98,41.4,7.9,66.6,77.7,1,1,0,0
7.56,91.4,9.1,69.9,79.5,1,1,1,1
10.0,41.4,11.2,83.1,54.3,2,1,1,1
4.72,67.4,4.3,43.4,58.1,3,1,0,0
5.48,48.4,13.5,91.8,100.0,1,1,1,1
6.68,60.8,11.9,73.1,60.8,3,1,1,0
5.59,67.9,11.9,65.8,100.0,0,1,0,1
3.71,67.8,10.8,70.7,69.6,2,1,0,0
6.62,69.6,9.1,71.4,74.0,0,1,1,1
4.59,91.0,11.7,46.0,93.3,3,1,0,1
7.35,70.2,11.4,94.4,96.9,3,1,0,1
4.85,57.6,7.6,72.6,72.0,2,1,0,0
9.29,79.4,6.7,78.6,67.0,3,0,0,1
5.09,83.4,9.4,86.3,73.0,2,1,0,1
5.92,39.9,15.2,56.7,80.1,3,1,0,0
